Código Item|Descrição Item|Código Subitem|Descrição Subitem|Alíquota|Percentual de Dedução da Base de Cálculo Permitido|Permite Tributação Fora de Arapiraca
1|Serviços de informática e congêneres.|101|Análise e desenvolvimento de sistemas.|0,05|0,00%|Não
1|Serviços de informática e congêneres.|102|Programação.|0,05|0,00%|Não
1|Serviços de informática e congêneres.|103|Processamento, armazenamento ou hospedagem de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos e sistemas de informação, entre outros formatos, e congêneres.|0,05|0,00%|Não
1|Serviços de informática e congêneres.|104|Elaboração de programas de computadores, inclusive de jogos eletrônicos, independentemente da arquitetura construtiva da máquina em que o programa será executado, incluindo tablets, smartphones e congêneres.|0,05|0,00%|Não
1|Serviços de informática e congêneres.|105|Licenciamento ou cessão de direito de uso de programas de computação.|0,05|0,00%|Não
1|Serviços de informática e congêneres.|106|Assessoria e consultoria em informática.|0,05|0,00%|Não
1|Serviços de informática e congêneres.|107|Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados.|0,05|0,00%|Não
1|Serviços de informática e congêneres.|108|Planejamento, confecção, manutenção e atualização de páginas eletrônicas.|0,05|0,00%|Não
1|Serviços de informática e congêneres.|109|Disponibilização, sem cessão definitiva, de conteúdos de áudio, vídeo, imagem e texto por meio da internet, respeitada a imunidade de livros, jornais e periódicos (exceto a distribuição de conteúdos pelas prestadoras de Serviço de Acesso Condicionado, de que trata a Lei no 12.485, de 12 de setembro de 2011, sujeita ao ICMS).|0,05|0,00%|Não
2|Serviços de pesquisas e desenvolvimento de qualquer natureza.|201|Serviços de pesquisas e desenvolvimento de qualquer natureza.|0,05|0,00%|Não
3|Serviços prestados mediante locação, cessão de direito|301|(VETADO)|0|0,00%|Não
3|Serviços prestados mediante locação, cessão de direito de uso e congêneres.|302|Cessão de direito de uso de marcas e de sinais de propaganda.|0,05|0,00%|Não
3|Serviços prestados mediante locação, cessão de direito de uso e congêneres.|303|Exploração de salões de festas, centro de convenções, escritórios virtuais, stands, quadras esportivas, estádios, ginásios, auditórios, casas de espetáculos, parques de diversões, canchas e congêneres, para realização de eventos ou negócios de qualquer natureza.|0,05|0,00%|Não
3|Serviços prestados mediante locação, cessão de direito de uso e congêneres.|304|Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovia, rodovia, postes, cabos, dutos e condutos de qualquer natureza.|0,05|0,00%|Sim
3|Serviços prestados mediante locação, cessão de direito de uso e congêneres.|305|Cessão de andaimes, palcos, coberturas e outras estruturas de uso temporário.|0,05|0,00%|Sim
4|Serviços de saúde, assistência médica e congêneres.|401|Medicina e biomedicina.|0,04|0,00%|Não
4|Serviços de saúde, assistência médica e congêneres.|402|Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia, tomografia e congêneres.|0,04|0,00%|Não
4|Serviços de saúde, assistência médica e congêneres.|403|Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres.|0,04|0,00%|Não
4|Serviços de saúde, assistência médica e congêneres.|404|Instrumentação cirúrgica.|0,04|0,00%|Não
4|Serviços de saúde, assistência médica e congêneres.|405|Acupuntura.|0,04|0,00%|Não
4|Serviços de saúde, assistência médica e congêneres.|406|Enfermagem, inclusive serviços auxiliares.|0,04|0,00%|Não
4|Serviços de saúde, assistência médica e congêneres.|407|Serviços farmacêuticos.|0,04|0,00%|Não
